Date,Open
2014-09-17,17849.580078125
2014-09-18,17583.3984375
2014-09-19,16291.9169921875
2014-09-20,15166.296875
2014-09-21,15681.685546875
2014-09-22,15336.4150390625
2014-09-23,15544.876953125
2014-09-24,16814.541015625
2014-09-25,16164.5595703125
2014-09-26,15840.015625
2014-09-27,15794.1728515625
2014-09-28,15634.296875
2014-09-29,14752.01953125
2014-09-30,14841.1474609375
2014-10-01,15328.39453125
2014-10-02,15229.923828125
2014-10-03,14850.1513671875
2014-10-04,14387.04296875
2014-10-05,13148.7451171875
2014-10-06,12807.87109375
2014-10-07,13129.8056640625
2014-10-08,13424.47265625
2014-10-09,14108.1552734375
2014-10-10,14635.2548828125
2014-10-11,14582.763671875
2014-10-12,14632.96484375
2014-10-13,15251.001953125
2014-10-14,15842.765625
2014-10-15,16406.556640625
2014-10-16,15936.2001953125
2014-10-17,15644.1953125
2014-10-18,15642.798828125
2014-10-19,15939.296875
2014-10-20,15856.880859375
2014-10-21,15695.513671875
2014-10-22,15799.94921875
2014-10-23,15832.6064453125
2014-10-24,14936.2119140625
2014-10-25,15028.490234375
2014-10-26,14562.3115234375
2014-10-27,14867.8173828125
2014-10-28,14930.3974609375
2014-10-29,15160.212890625
2014-10-30,14492.55859375
2014-10-31,14342.7138671875
2014-11-01,14564.4892578125
2014-11-02,14023.6708984375
2014-11-03,14001.9091796875
2014-11-04,14262.583984375
2014-11-05,14412.8193359375
2014-11-06,15237.251953125
2014-11-07,16383.7255859375
2014-11-08,15968.6689453125
2014-11-09,16119.0439453125
2014-11-10,16907.26953125
2014-11-11,16778.568359375
2014-11-12,17063.462890625
2014-11-13,18671.830078125
2014-11-14,19537.982421875
2014-11-15,18857.525390625
2014-11-16,17681.673828125
2014-11-17,18323.08203125
2014-11-18,18269.365234375
2014-11-19,17535.759765625
2014-11-20,17820.578125
2014-11-21,16518.01171875
2014-11-22,16064.681640625
2014-11-23,16136.458984375
2014-11-24,16765.744140625
2014-11-25,16902.58203125
2014-11-26,17409.6796875
2014-11-27,17559.943359375
2014-11-28,17964.873046875
2014-11-29,18950.5390625
2014-11-30,18918.193359375
2014-12-01,19056.18359375
2014-12-02,19411.912109375
2014-12-03,20569.08984375
2014-12-04,20093.7734375
2014-12-05,20088.77734375
2014-12-06,19823.068359375
2014-12-07,19721.99609375
2014-12-08,19728.783203125
2014-12-09,19443.53125
2014-12-10,19041.2578125
2014-12-11,18892.21484375
2014-12-12,19785.2265625
2014-12-13,20513.5078125
2014-12-14,20184.365234375
2014-12-15,20454.12890625
2014-12-16,22778.986328125
2014-12-17,22386.298828125
2014-12-18,19235.70703125
2014-12-19,19186.673828125
2014-12-20,18501.46484375
2014-12-21,19196.044921875
2014-12-22,18446.3203125
2014-12-23,18466.78515625
2014-12-24,18217.294921875
2014-12-25,17177.84375
2014-12-26,16915.056640625
2014-12-27,17672.447265625
2014-12-28,17056.19921875
2014-12-29,17102.638671875
2014-12-30,18486.6953125
2014-12-31,17190.435546875
2015-01-01,18600.291015625
2015-01-02,18231.34375
2015-01-03,18495.62890625
2015-01-04,16515.921875
2015-01-05,15572.3603515625
2015-01-06,16589.9375
2015-01-07,18064.33203125
2015-01-08,18489.326171875
2015-01-09,16903.4453125
2015-01-10,17605.927734375
2015-01-11,16827.978515625
2015-01-12,16309.4267578125
2015-01-13,16851.169921875
2015-01-14,14595.6494140625
2015-01-15,11380.6689453125
2015-01-16,13618.8203125
2015-01-17,13511.2880859375
2015-01-18,13005.2509765625
2015-01-19,13786.322265625
2015-01-20,13815.53515625
2015-01-21,13760.7080078125
2015-01-22,14825.94140625
2015-01-23,15229.978515625
2015-01-24,14895.126953125
2015-01-25,15833.001953125
2015-01-26,16213.416015625
2015-01-27,18662.76953125
2015-01-28,17844.6640625
2015-01-29,15760.5576171875
2015-01-30,16012.8515625
2015-01-31,15643.1103515625
2015-02-01,14981.71484375
2015-02-02,15723.0048828125
2015-02-03,16212.171875
2015-02-04,14799.5908203125
2015-02-05,15447.0693359375
2015-02-06,14424.294921875
2015-02-07,14939.787109375
2015-02-08,15279.337890625
2015-02-09,14990.51953125
2015-02-10,14507.7724609375
2015-02-11,14382.5576171875
2015-02-12,14407.8837890625
2015-02-13,14487.916015625
2015-02-14,14956.0283203125
2015-02-15,16351.693359375
2015-02-16,14853.2685546875
2015-02-17,14748.53515625
2015-02-18,15237.46875
2015-02-19,14558.6005859375
2015-02-20,14871.537109375
2015-02-21,15043.154296875
2015-02-22,15092.033203125
2015-02-23,14662.369140625
2015-02-24,15236.123046875
2015-02-25,14971.236328125
2015-02-26,14569.8818359375
2015-02-27,14458.0615234375
2015-02-28,15599.0859375
2015-03-01,15646.033203125
2015-03-02,16048.119140625
2015-03-03,17231.630859375
2015-03-04,17451.513671875
2015-03-05,16871.634765625
2015-03-06,16748.212890625
2015-03-07,16437.02734375
2015-03-08,16686.87890625
2015-03-09,16593.8359375
2015-03-10,17614.9140625
2015-03-11,18166.380859375
2015-03-12,18192.5625
2015-03-13,17952.962890625
2015-03-14,17666.69140625
2015-03-15,17479.306640625
2015-03-16,17783.60546875
2015-03-17,18015.4375
2015-03-18,17497.412109375
2015-03-19,15050.8623046875
2015-03-20,15602.55859375
2015-03-21,15474.935546875
2015-03-22,15372.7900390625
2015-03-23,15864.7412109375
2015-03-24,15656.0673828125
2015-03-25,14276.66015625
2015-03-26,14119.0029296875
2015-03-27,14246.5595703125
2015-03-28,14288.7392578125
2015-03-29,14622.2734375
2015-03-30,14082.1240234375
2015-03-31,14255.82421875
2015-04-01,14215.0
2015-04-02,14234.7978515625
2015-04-03,14268.0087890625
2015-04-04,14350.27734375
2015-04-05,14320.3681640625
2015-04-06,14723.5673828125
2015-04-07,14119.205078125
2015-04-08,13925.099609375
2015-04-09,13127.7099609375
2015-04-10,12638.4580078125
2015-04-11,12650.4580078125
2015-04-12,12678.2763671875
2015-04-13,12633.9423828125
2015-04-14,11694.2109375
2015-04-15,11150.158203125
2015-04-16,11142.7822265625
2015-04-17,11383.03515625
2015-04-18,11564.9560546875
2015-04-19,11596.2490234375
2015-04-20,11552.4501953125
2015-04-21,11980.107421875
2015-04-22,12675.3876953125
2015-04-23,12212.884765625
2015-04-24,11990.98046875
2015-04-25,11750.20703125
2015-04-26,11505.0244140625
2015-04-27,11159.6103515625
2015-04-28,11860.59375
2015-04-29,11623.576171875
2015-04-30,11440.3779296875
2015-05-01,12140.2412109375
2015-05-02,12029.6875
2015-05-03,12161.1474609375
2015-05-04,12434.216796875
2015-05-05,12423.2900390625
2015-05-06,11931.755859375
2015-05-07,11655.3466796875
2015-05-08,11935.1328125
2015-05-09,12373.470703125
2015-05-10,12269.9228515625
2015-05-11,12119.7919921875
2015-05-12,12330.0234375
2015-05-13,12053.6298828125
2015-05-14,11643.53125
2015-05-15,11841.826171875
2015-05-16,11747.9306640625
2015-05-17,11667.154296875
2015-05-18,11719.3916015625
2015-05-19,11473.8095703125
2015-05-20,11471.5986328125
2015-05-21,11621.2353515625
2015-05-22,11758.990234375
2015-05-23,11996.2783203125
2015-05-24,11930.876953125
2015-05-25,11967.2060546875
2015-05-26,11846.9013671875
2015-05-27,12080.8330078125
2015-05-28,12330.24609375
2015-05-29,12468.2265625
2015-05-30,12412.951171875
2015-05-31,12205.7822265625
2015-06-01,12016.873046875
2015-06-02,11950.015625
2015-06-03,11904.1875
2015-06-04,12259.419921875
2015-06-05,12654.166015625
2015-06-06,12644.15625
2015-06-07,12677.3671875
2015-06-08,12481.2236328125
2015-06-09,12796.9853515625
2015-06-10,12719.52734375
2015-06-11,12433.9208984375
2015-06-12,12557.97265625
2015-06-13,12665.7177734375
2015-06-14,12804.6484375
2015-06-15,12870.888671875
2015-06-16,12903.6923828125
2015-06-17,13558.2373046875
2015-06-18,13364.3515625
2015-06-19,13316.3291015625
2015-06-20,13204.6201171875
2015-06-21,13235.400390625
2015-06-22,13205.431640625
2015-06-23,13321.7119140625
2015-06-24,13137.4853515625
2015-06-25,13087.875
2015-06-26,13275.291015625
2015-06-27,13339.9091796875
2015-06-28,13745.55859375
2015-06-29,13623.1953125
2015-06-30,14310.4794921875
2015-07-01,14562.978515625
2015-07-02,14438.4482421875
2015-07-03,14180.0185546875
2015-07-04,14346.9521484375
